Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
SZU,Sdzucker AG,Consumer Staples,Germany,XTRA,3211.58,15.07,13.74,14.51,13.82,5.72,-7.25,-31.98,1.87,-1.49,-3.78,12.46,12.61,12.86,12.95,13.08,27.22,31.85,,1.33,13.77,6.73,4.01,3.25,1.65,0.84,26.08,60.47,1049.91,-5.81,13.31,-8.36,7.01,4.94,5.16,1.31,2.33,-0.59,-182.92,-15.38,-54.61,-19.30,7.68,-14.59,,,,,,,8.27,1.89,-4.62,-7.71,-4.87,-1.31
VBK,VERBIO Vereinigte BioEnergie AG,Energy,Germany,XTRA,3275.31,49.64,-17.37,-18.65,14.81,552.92,478.93,2243.08,86.59,42.02,37.05,61.44,60.45,60.95,58.79,55.99,69.61,80.73,,0.40,17.71,14.73,14.40,9.46,4.94,,58.00,38.88,91.14,25.11,46.56,,39.79,31.43,45.05,19.31,21.20,,47.05,32.65,84.16,13.84,50.77,,,,,,,,30.58,22.44,19.31,14.89,15.69,
GIL,DMG MORI AKTIENGESELLSCHAFT,Industrials,Germany,XTRA,3341.70,40.60,-1.23,-1.23,0.20,0.42,-6.17,318.53,0.14,-1.26,15.38,41.40,41.64,41.71,41.76,41.71,6.62,7.53,,2.54,11.62,-13.02,-8.19,-2.01,-1.22,1.92,70.60,-26.47,-18.01,-7.74,-5.62,1.13,11.12,-11.88,-8.24,-3.73,-2.20,1.44,62.19,-25.56,-17.20,13.43,-3.82,6.03,,,,,,,12.60,6.92,6.76,5.08,4.16,9.10
1U1,1&1 AG,Communication Services,Germany,XTRA,3370.98,18.31,-23.57,-24.08,-28.68,-37.13,,,-14.30,,,20.50,21.73,22.92,23.51,23.92,21.12,24.08,-0.02,0.27,3.24,3.15,2.46,9.98,,,39.27,0.07,-1.47,16.40,,,30.24,3.35,1.92,11.46,,,68.50,-0.48,-3.05,12.64,,,,,,,,,260.71,424.42,4.65,-10.50,,
HOT,HOCHTIEF Aktiengesellschaft,Industrials,Germany,XTRA,3386.84,47.61,-30.73,-30.49,-24.86,-47.52,-62.75,73.91,-19.29,-17.91,5.68,59.28,62.65,64.40,65.08,65.74,30.89,35.93,0.15,4.01,-6.87,-9.06,-3.63,1.43,-0.47,-0.85,-177.17,-35.62,-22.92,-4.35,51.33,-0.97,-4.76,-12.26,-6.70,0.97,-2.53,-3.52,-51.33,0.41,-27.38,-8.29,-2.69,2.64,,,,,,,-21.97,308.91,-25.48,-10.01,-19.39,-17.15
VAR1,Varta AG,Industrials,Germany,XTRA,3419.13,81.00,-27.18,-26.77,-37.66,55.44,,980.00,15.79,,23.76,86.95,93.68,100.40,108.10,111.44,42.63,42.10,,3.06,4.31,57.66,49.00,33.24,,,13.53,56.29,71.85,66.00,,55.54,6.52,55.31,50.78,35.96,,,32.01,58.10,70.84,68.01,,35.75,,,,,,,7.04,8.55,24.35,53.83,,34.02
E2H,EPR Properties,Real Estate,United States,DB,3554.75,44.98,8.94,12.23,10.32,,,62.85,,,4.99,46.30,44.45,44.35,44.02,43.61,36.76,37.00,0.11,6.16,28.68,-10.13,-2.31,1.77,4.72,5.89,98.49,-17.98,-17.22,-5.52,-1.54,1.33,34.01,-10.86,-4.25,0.43,4.03,5.58,-174.86,-30.17,-28.25,-15.21,-8.21,-1.55,,,,,,,-0.34,-6.65,-2.95,3.51,4.33,5.82
FPE3,Fuchs Petrolub SE,Materials,Germany,DB,3609.27,26.42,-31.47,-31.10,-33.86,-16.93,-36.78,56.07,-5.98,-8.75,4.55,31.00,33.74,35.65,37.01,37.86,27.99,34.28,,3.90,20.73,5.65,3.80,4.84,6.35,5.69,15.26,4.35,-0.19,0.17,2.63,3.29,12.85,4.17,2.37,2.57,4.84,4.78,15.00,5.34,-4.23,-0.47,2.05,3.33,,,,,,,14.17,4.17,6.03,9.59,8.58,10.01
FPE,Fuchs Petrolub SE,Materials,Germany,XTRA,3609.27,23.35,-21.14,-20.99,-26.65,-17.48,-34.37,51.08,-6.19,-8.07,4.21,25.36,27.11,28.33,29.36,30.17,22.40,24.63,,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSS,Hugo Boss AG,Consumer Discretionary,Germany,XTRA,3639.64,50.50,-4.19,-4.01,12.11,-12.16,-9.44,-11.87,-4.22,-1.96,-1.25,51.29,51.90,52.41,51.91,50.72,31.26,35.64,,1.39,43.18,-1.71,-0.12,0.68,1.15,3.07,-252.45,-19.56,-13.35,-7.84,-10.09,-5.31,44.95,-4.21,-1.91,-0.65,0.18,3.13,-162.54,-18.17,-16.53,-6.63,-11.89,-7.04,,,,,,,30.54,-3.92,-1.46,1.67,1.29,7.83
