Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
002594,BYD Company Limited,Consumer Discretionary,China,XSEC,131620.61,338.19,26.13,33.60,43.13,513.95,576.71,,83.01,46.52,,274.35,270.92,275.30,274.29,260.82,50.19,49.36,-1.37,0.04,38.02,30.08,18.45,15.87,20.62,16.04,-63.49,-6.40,-8.49,-12.52,18.65,8.99,-8.07,15.24,9.15,5.78,17.46,12.93,-28.08,37.34,3.08,-9.63,32.11,8.20,,,,,,,73.09,32.99,21.14,13.02,24.62,17.35
002595,Himile Mechanical Science and Technology (Shandong) Co. Ltd,Industrials,China,XSEC,2675.74,22.60,-17.22,-10.24,-16.74,18.44,16.37,,5.80,3.07,,20.86,22.74,23.70,24.63,25.31,33.28,33.70,,3.32,13.48,17.03,17.28,18.18,18.65,24.23,-0.20,8.70,10.24,7.78,10.52,16.94,5.89,9.18,10.43,9.44,11.73,18.03,4.56,10.49,12.53,7.97,11.16,17.34,,,,,,,12.43,15.07,14.90,13.22,14.76,12.81
002596,Hainan RuiZe New Building Material Co.Ltd,Materials,China,XSEC,538.38,3.17,-15.92,-15.24,-25.93,-56.49,-61.59,,-24.21,-16.93,,3.70,3.68,3.70,3.77,3.99,55.08,71.53,,,-4.32,3.84,-3.80,8.56,9.44,14.55,-266.16,90.64,-4.95,16.88,15.95,14.32,-42.72,-18.34,-21.84,-2.70,3.60,10.35,-2852.91,66.41,110.60,74.64,60.55,33.98,,,,,,,-32.84,-16.41,-3.85,-9.05,-2.13,3.76
002597,Anhui Jinhe Industrial Co.Ltd.,Materials,China,XSEC,3383.44,41.50,-17.76,0.74,22.30,129.33,117.90,,31.84,16.84,,39.25,41.31,42.21,40.59,39.43,49.27,41.10,0.32,1.57,59.44,21.31,12.25,9.25,8.92,9.85,79.86,18.65,5.43,17.12,30.33,19.05,66.08,15.17,6.68,12.88,19.61,17.42,63.82,20.64,8.89,16.37,32.24,20.26,,,,,,,18.49,14.29,14.31,19.68,17.85,14.12
002598,Shandong Zhangqiu Blower Co. Ltd,Industrials,China,SZSE,477.90,10.35,-1.88,4.07,42.19,56.93,-0.88,70.12,16.19,-0.18,5.45,9.18,9.60,10.17,10.28,9.66,68.41,62.43,,0.97,50.21,25.39,21.61,28.65,17.31,10.12,29.08,29.53,10.00,18.57,8.29,2.25,39.03,22.14,14.61,22.29,14.20,9.39,28.60,18.15,7.68,13.43,4.70,0.90,,,,,,,13.69,3.68,2.98,4.26,3.38,3.28
002599,Beijing Shengtong Printing Co. Ltd,Industrials,China,SZSE,368.05,4.66,-39.08,-33.43,20.10,-19.57,-44.53,86.19,-7.00,-11.11,6.41,5.02,5.47,5.73,5.78,5.49,69.75,57.98,2.49,,17.88,10.98,9.25,23.31,21.31,17.49,165.64,-26.02,-11.68,22.76,31.31,6.20,40.35,2.89,9.45,26.20,25.24,16.81,-119.53,-30.83,-18.34,13.12,28.95,6.68,,,,,,,-2.05,-1.94,1.61,12.01,11.15,7.30
002600,Lingyi iTech (Guangdong) Company,Information Technology,China,SZSE,5096.39,4.87,-33.83,-29.52,-35.67,-18.61,,,-6.63,,,4.95,5.63,5.89,6.17,6.55,38.96,37.99,-0.16,,7.97,12.72,10.53,41.94,36.21,,-58.59,-31.69,20.15,2.08,8.24,,-24.55,-6.18,2.01,23.40,24.57,,-47.93,-21.08,20.18,4.52,10.10,,,,,,,,10.33,19.92,20.63,41.20,44.86,
002601,LB Group Co. Ltd.,Materials,China,XSEC,6932.01,19.78,-27.11,-22.36,-35.60,67.62,45.29,,18.77,7.75,,21.33,23.38,24.80,26.37,27.72,44.80,43.00,-5.03,6.32,45.74,34.54,25.34,37.82,39.00,26.85,70.71,34.74,28.12,56.85,78.26,28.77,72.04,34.80,25.85,47.92,57.05,29.76,104.33,34.27,26.95,60.28,84.96,29.25,,,,,,,79.75,22.50,17.44,10.68,25.55,17.61
002602,Zhejiang Century Huatong Group Co.Ltd,Communication Services,China,XSEC,4745.94,4.36,-48.03,-47.09,-26.60,-51.60,-63.35,,-21.47,-18.17,,5.34,6.15,6.45,6.34,6.40,42.39,39.68,0.66,,-7.03,-2.62,3.61,32.15,34.91,30.15,-78.13,-50.40,-38.78,4.12,17.71,16.17,-9.45,0.34,4.60,45.35,47.07,38.68,-21.03,0.90,20.01,35.82,41.08,32.32,,,,,,,129.40,26.89,431.75,43.59,33.36,25.23
002603,Shijiazhuang Yiling Pharmaceutical Co. Ltd.,Health Care,China,XSEC,6371.77,25.77,31.48,1.54,37.81,225.89,121.05,,48.21,17.17,,26.61,24.54,22.53,21.70,21.46,61.00,73.82,,,15.19,31.78,28.08,21.32,19.42,17.88,6.48,52.76,30.84,19.66,21.66,12.13,13.42,31.36,26.39,20.11,19.48,17.00,10.27,48.85,30.89,20.33,20.97,11.46,,,,,,,-0.36,6.03,5.27,11.10,10.87,9.36
