Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
ACRH,Auscan Resources Inc.,Energy,Canada,TSXV,0.29,0.300,-71.83,-77.78,-83.05,-71.43,,,-34.04,,,1.23,1.36,1.42,1.43,1.45,223.49,314.41,,,,,,,,,23.31,-81.28,-75.69,-17.43,,,,,,,,,-40.15,-81.30,-77.96,-13.22,,,,,,,,,-218.99,-49.46,-73.88,-43.70,,
ACST,Acasti Pharma Inc.,Health Care,Canada,TSXV,38.96,1.14,-29.63,-35.23,-78.41,-92.30,-91.15,-99.35,-57.39,-38.38,-39.54,1.32,1.41,1.59,2.12,2.60,76.48,58.25,-89.02,,,,,,,,13.29,-29.52,-28.82,7.93,,,,,,,,,-50.10,-37.96,-37.05,3.38,,,,,,,,,-54.19,70.70,76.22,27.86,,
ACT,Aduro Clean Technologies Inc.,Industrials,Canada,CNSX,31.33,0.78,1.30,-8.24,-11.36,,,,,,,0.66,0.69,0.73,0.76,0.77,69.08,62.83,-7.59,,-83.82,,,,,,774.60,,,,,,-54.11,,,,,,1193.95,,,,,,,,,,,,-242.11,,,,,
ACU,Aurora Solar Technologies Inc.,Information Technology,Canada,TSXV,10.02,0.0900,-40.00,-33.33,-66.67,125.00,-65.38,-70.00,30.97,-19.09,-11.32,0.0954,0.1049,0.1286,0.1543,0.1728,92.31,107.70,-41.17,,-43.40,106.35,-9.38,45.41,,,677.31,28.22,59.05,16.76,15.24,,-74.24,88.61,-31.91,53.84,25.31,,598.43,24.85,68.35,16.80,11.57,,,,,,,,0.93,34.84,11.61,38.37,20.02,
ADCO,Adcore Inc.,Information Technology,Israel,TSX,11.50,0.2350,-66.43,-63.28,-81.20,-51.04,,,-21.15,,,0.349,0.449,0.54,0.67,0.80,49.88,55.28,-26.19,,64.53,57.31,48.33,,,,-33.63,-51.17,-26.68,,,,23.18,7.61,20.95,,,,-142.75,-54.16,-45.17,,,,,,,,,,95.86,57.67,285.76,,,
ADD,Arctic Star Exploration Corp.,Materials,Canada,TSXV,13.41,0.0900,0.00,20.00,-14.29,-64.00,-92.17,-98.13,-28.82,-39.87,-32.77,0.0949,0.0883,0.0822,0.0862,0.1024,115.81,102.84,-22.82,,,,,,,,54.62,1.91,-10.20,13.30,8.00,-19.12,,,,,,,38.94,-1.52,-13.35,13.19,3.99,-20.71,,,,,,,81.74,30.35,19.12,23.51,14.01,17.88
ADK,DIAGNOS Inc.,Health Care,Canada,TSXV,9.07,0.1700,-50.00,-51.43,-69.09,-33.33,-89.38,-85.22,-12.62,-36.09,-17.38,0.2089,0.255,0.301,0.344,0.379,71.88,77.68,-6.38,,64.31,15.05,10.36,-24.62,-3.53,-10.48,16.49,-2.47,-3.17,6.01,-0.04,2.08,20.36,-6.01,-18.03,-6.85,-3.62,-8.19,27.15,-12.19,-12.09,-2.30,-1.15,1.75,,,,,,,-110.03,-75.02,-71.84,-47.78,-10.08,-26.05
ADMT,Adamant Holdings Inc.,Communication Services,Canada,CNSX,3.08,0.0300,-33.33,-40.00,-70.00,-45.45,,,-18.26,,,0.0525,0.0679,0.0919,0.1267,0.1158,205.83,255.98,-1.98,,,27.70,-41.78,-47.18,,,-47.60,-35.99,-31.39,6.85,,,,-3.39,-13.28,-18.93,,,-52.22,-39.61,-34.27,3.34,,,,,,,,,-237.74,5.93,23.00,-0.66,,
ADN,Acadian Timber Corp.,Materials,Canada,TSX,212.84,16.55,-10.91,-10.02,-5.71,21.33,20.66,148.50,6.65,3.82,9.52,18.46,18.58,18.53,18.49,18.59,19.89,20.59,,7.01,5.16,-2.18,-1.39,4.41,3.09,3.76,4.46,-1.08,1.12,0.05,0.27,3.88,1.86,-3.77,-1.58,0.80,0.89,3.14,-15.38,3.85,-10.73,3.06,-11.30,3.11,,,,,,,-0.61,0.85,0.13,1.74,2.35,4.70
ADUN,Alaris Equity Partners Income Trust,Financials,Canada,TSX,557.79,16.04,-11.52,-10.95,-0.22,2.79,10.18,40.47,0.92,1.95,3.45,18.42,18.41,18.45,18.36,18.10,24.51,25.29,,8.23,209.71,35.19,20.75,11.88,17.44,16.60,323.54,40.47,24.00,12.35,19.11,16.98,209.71,35.19,20.75,11.88,17.44,16.60,610.88,99.46,33.37,16.73,16.66,15.31,,,,,,,30.39,14.24,7.45,4.00,6.04,13.12
