Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
5233,Taiheiyo Cement Corporation,Materials,Japan,TSE,1678.04,1986.00,-11.10,-12.83,-19.05,-33.43,-45.53,34.69,-12.64,-11.43,3.02,2014.37,2114.11,2178.72,2250.99,2301.58,28.76,30.40,2.47,3.52,-18.02,-10.51,-8.22,-2.37,-2.46,-0.27,-26.58,-12.51,-10.89,-5.88,-4.70,4.81,-8.31,-5.17,-4.82,-2.46,-1.87,1.85,-38.10,-13.98,-12.64,-9.45,-5.83,13.96,,,,,,,9.11,8.96,7.96,8.30,9.20,14.23
5237,Nozawa Corporation,Materials,Japan,TSE,59.42,722.00,7.28,5.94,5.50,18.62,-41.49,316.10,5.83,-10.15,15.31,721.51,719.45,715.61,715.20,715.63,15.60,16.19,,5.54,-8.25,-4.41,-5.53,-2.33,-0.29,2.18,0.05,24.05,-7.38,-11.04,-4.70,11.72,-2.10,0.50,-4.76,-3.63,-0.76,4.10,35.74,41.63,24.30,-5.30,0.11,23.35,,,,,,,6.20,7.16,5.84,3.42,6.15,7.98
5261,RESOL HOLDINGS Co.Ltd.,Consumer Discretionary,Japan,TSE,188.05,4690.00,11.82,11.29,19.12,20.59,36.32,241.17,6.42,6.39,13.04,4491.70,4414.27,4338.27,4268.98,4226.72,14.41,17.55,-2.98,1.07,7.00,0.70,-0.08,-1.27,0.84,1.51,-34.85,27.20,-3.65,-17.72,-2.33,19.15,5.11,-4.88,-5.49,-4.69,-1.25,2.32,52.90,111.46,-30.71,-18.50,-7.25,-0.37,,,,,,,1.48,1.64,1.80,5.54,7.06,6.94
5262,Nippon Hume Corporation,Industrials,Japan,TSE,113.59,651.00,-3.44,-5.36,-7.06,-1.50,4.78,139.74,-0.50,0.94,9.13,684.43,688.40,699.94,707.28,710.11,22.92,28.20,1.32,3.07,-3.10,-8.26,-8.10,-1.66,-2.81,0.62,-16.18,-10.52,-4.60,-0.66,-5.48,2.06,0.96,-2.33,-1.94,0.35,-1.57,1.55,0.33,0.73,1.33,9.08,-7.13,11.36,,,,,,,2.67,5.59,4.73,4.52,3.96,5.18
5268,Asahi Concrete Works Co. Ltd.,Materials,Japan,TSE,66.81,704.00,7.04,5.16,7.84,-1.06,11.25,28.22,-0.35,2.15,2.51,698.84,685.89,678.77,675.18,693.92,10.03,7.74,,1.85,-23.17,-18.77,-14.25,-12.20,-9.62,-5.83,-27.95,-19.73,-6.17,-11.23,-12.70,43.33,-11.87,-9.18,-3.15,-5.70,-5.83,2.71,-24.63,-9.94,-0.21,-8.28,-9.39,37.28,,,,,,,-0.02,2.82,1.49,1.90,1.97,3.11
5269,Nippon Concrete Industries Co. Ltd.,Materials,Japan,TSE,106.09,270.00,-1.74,-2.09,-12.27,-3.19,-30.78,23.42,-1.07,-7.09,2.12,290.13,286.15,287.48,291.99,301.98,24.11,23.44,2.66,3.33,-3.07,1.68,-1.76,6.75,4.75,3.35,-55.30,277.88,-16.88,-3.68,-0.43,3.85,-8.82,16.01,-0.29,6.75,5.30,5.81,-53.16,400.29,-15.44,-5.96,12.05,4.17,,,,,,,-4.12,0.57,-1.11,0.70,1.59,4.42
5271,Toyo Asano Foundation Co. Ltd.,Materials,Japan,TSE,13.62,1456.00,3.41,1.84,-12.12,-16.16,-13.90,79.16,-5.69,-2.95,6.00,1413.87,1441.77,1487.08,1533.76,1566.78,24.14,29.63,,3.43,8.15,15.17,2.56,4.03,3.55,3.40,-53.29,-22.10,-52.15,14.23,-19.76,-3.93,-0.19,3.80,-11.94,4.40,-0.24,3.77,-28.75,8.97,-47.92,13.32,-10.46,-2.84,,,,,,,8.07,4.53,2.79,8.60,5.91,6.22
5273,Mitani Sekisan Co. Ltd.,Materials,Japan,TSE,543.96,4090.00,-46.43,-37.45,-6.25,41.57,58.33,534.05,12.24,9.61,20.26,5379.25,5917.03,6254.52,6068.14,5735.23,40.04,36.23,7.61,1.08,12.21,1.47,2.86,3.48,3.72,3.42,1.44,-5.45,-2.18,8.26,5.33,7.45,2.89,-2.77,-0.34,3.72,2.92,3.76,-0.99,-2.64,-1.15,9.28,6.51,14.91,,,,,,,-0.19,5.98,5.43,8.13,9.05,10.10
5280,Yoshicon Co.Ltd.,Real Estate,Japan,TSE,55.64,1076.00,0.24,-1.17,0.78,11.11,-9.77,227.18,3.56,-2.03,12.57,1098.79,1102.94,1114.00,1120.41,1114.26,18.19,20.54,4.99,4.51,-4.81,7.08,-2.69,0.87,-0.69,3.98,43.18,80.58,0.38,-4.09,-2.11,4.67,12.54,28.59,-1.46,-3.30,-1.79,3.29,12.53,25.75,0.14,-3.37,-0.64,7.93,,,,,,,5.51,6.15,5.51,7.21,8.40,9.76
5282,GEOSTR Corporation,Materials,Japan,TSE,65.04,288.00,-13.59,-10.23,-15.53,-5.81,-64.74,87.53,-1.97,-18.80,6.48,306.75,315.67,329.06,333.64,337.35,27.32,21.38,,4.86,2.36,5.30,-3.43,-0.12,6.48,4.06,24.87,25.34,-14.40,-4.94,31.86,11.85,14.61,5.91,-9.60,-3.84,7.31,7.71,63.30,66.00,-10.39,-5.62,27.41,-16.70,,,,,,,6.08,5.60,3.27,5.74,6.36,5.57
