Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
A001140,KUKBO Logistics Co. Ltd.,Industrials,South Korea,KOSE,69.27,1190.00,-24.20,-25.86,-12.50,-84.01,14.42,-9.64,-45.69,2.73,-1.01,1362.30,1455.67,1539.63,1505.34,1550.17,67.54,55.82,-7.07,,-11.90,4.27,10.62,2.09,-0.10,-2.95,-13.96,74.17,0.57,25.04,25.39,31.82,-12.02,34.15,101.79,30.01,25.67,12.21,10.20,55.70,65.86,32.71,14.12,82.61,,,,,,,2.72,93.22,49.63,18.69,5.70,-0.11
A001210,Kumho Electric Inc.,Industrials,South Korea,KOSE,25.40,1400.00,-60.45,-64.06,-55.06,-58.27,-86.53,-92.41,-25.25,-33.00,-22.70,2126.10,2470.83,2740.03,2814.62,2862.48,67.84,78.80,-3.23,,-7.47,-16.14,-13.17,-36.87,-28.77,-18.33,18.84,54.14,-32.09,1.17,6.98,4.93,-24.73,-23.29,168.07,-28.39,-21.77,-17.19,-59.71,-45.07,-18.54,-14.24,7.69,2.92,,,,,,,93.23,-1.11,-14.57,-21.49,-22.01,-18.53
A001260,Namkwang Engineering & Construction Co. Ltd.,Industrials,South Korea,KOSE,86.11,11350.00,-18.35,-14.98,-32.04,-12.36,49.34,-99.81,-4.30,8.34,-46.58,12035.90,12108.27,12772.20,13323.16,13908.80,52.07,62.14,,,49.91,22.90,31.42,14.21,3.59,-6.15,90.95,123.14,23.78,28.92,-8.04,-15.77,20.55,35.34,18.32,105.55,5.12,14.23,57.54,136.87,55.95,58.77,-20.28,-18.10,,,,,,,33.14,29.61,21.97,17.39,2.71,1.04
A001270,BOOKOOK Securities Co. Ltd.,Financials,South Korea,KOSE,143.75,21250.00,-13.09,-11.09,-10.34,23.81,12.94,99.15,7.37,2.46,7.12,23893.50,24050.00,24204.25,24285.80,24449.67,17.81,22.29,0.05,7.53,-12.73,13.26,6.67,0.04,6.56,,,,,,,,-13.93,12.96,6.49,-0.17,6.32,,27.76,67.78,38.66,22.74,28.02,,,,,,,,17.83,16.92,12.86,7.75,7.57,
A001460,BYC Co. Ltd.,Consumer Discretionary,South Korea,KOSE,220.66,404500.00,-10.21,-21.15,0.46,76.06,11.99,152.92,20.73,2.29,9.71,439730.00,447053.33,444457.50,436702.00,431853.33,44.71,23.00,,0.37,1.60,-1.82,-5.98,-4.94,-1.04,-2.04,16.44,20.28,7.76,10.58,-0.62,-2.98,2.23,3.97,-1.88,0.65,-0.86,-1.49,63.24,3.69,48.60,11.24,6.63,1.01,,,,,,,6.46,5.31,5.74,4.11,4.06,4.58
A001540,Ahn-Gook Pharmaceutical Co. Ltd.,Health Care,South Korea,KOSDAQ,73.81,8370.00,-21.78,-22.50,-41.09,-17.45,-20.22,52.04,-6.19,-4.41,4.27,10327.10,10345.60,10363.40,10880.32,11344.60,35.81,42.70,0.49,2.63,14.07,2.43,-4.16,-1.23,-0.38,2.33,2107.69,-33.04,-58.68,-22.65,-27.16,-17.28,18.99,3.90,1.09,7.49,5.43,4.67,-399.47,24.64,-33.21,18.09,16.31,-4.84,,,,,,,0.47,-1.14,-0.30,1.96,2.52,2.78
A001550,Chobi Company Limited,Materials,South Korea,KOSE,78.21,19500.00,-7.36,-7.14,-19.59,-10.14,50.00,43.91,-3.50,8.44,3.70,22264.00,21561.00,22391.00,23199.60,23276.50,59.21,56.74,-11.89,,20.14,-0.02,-6.85,-0.28,-0.13,,-63.81,501.01,-20.89,54.18,34.85,,407.18,886.07,-22.15,-4.21,-3.80,,-48.87,41.59,28.19,40.70,18.27,,,,,,,,36.32,-26.69,-18.91,2.04,1.09,
A001560,Cheil Grinding Wheel Ind. Co. Ltd.,Industrials,South Korea,KOSE,51.71,9060.00,3.90,8.76,9.08,47.05,69.79,133.51,13.70,11.16,8.84,10032.40,9570.60,9392.50,9160.68,9055.37,47.01,61.96,1.58,2.98,9.00,-0.82,-1.00,-1.59,-1.44,-0.95,84.46,-2.35,6.84,9.60,-0.54,-1.20,31.18,0.43,3.21,2.12,-1.04,-0.57,86.37,-2.49,5.24,5.47,-0.95,-2.00,,,,,,,7.34,4.87,5.24,5.87,5.34,2.87
A001570,Kumyang Co. Ltd.,Materials,South Korea,KOSE,190.04,5200.00,6.01,4.73,-1.14,131.63,126.14,472.96,32.28,17.71,19.05,4660.15,4755.43,4840.45,4925.24,4981.63,47.74,46.88,,,23.58,12.27,1.95,5.24,4.63,7.08,102.03,14.78,-3.55,0.01,12.98,7.87,35.50,8.76,1.57,6.34,11.25,9.24,-438.65,10.74,-13.00,-8.19,98.43,16.23,,,,,,,54.26,34.61,15.91,32.59,15.53,12.65
A001630,Chong Kun Dang Holdings Corp.,Health Care,South Korea,KOSE,214.96,56400.00,-26.27,-26.66,-46.82,-43.40,-16.23,263.39,-17.26,-3.48,13.76,66487.00,68674.67,72166.00,77630.40,82755.33,22.59,21.64,1.76,2.48,7.91,13.35,20.36,22.50,26.22,4.99,-61.36,-36.80,-13.78,8.35,1.63,-8.49,6.65,16.09,29.78,34.08,33.62,3.73,-79.67,-40.40,-16.49,-11.48,7.79,-11.38,,,,,,,0.52,7.88,8.56,9.17,18.90,4.94
